device=cuda STRUCTURED rank_k=16 n_ent=80 n_rel=80 C=50 h=256 alpha=1.0 epochs=3000 seeds=3
joint witness: accA=1.000 accB=1.000 | A-only accA0=1.000 | class-balance(max/mean)=3.72
R(1)=full-A ceiling=1.000  R(0)=A->B zero-referee=0.652  chord slope=0.348
DECOMP: B-only reconstruction(accA)=0.307  retained-A-state(R0 - Bonly)=+0.345  (B-only accB=1.000)

 budget        sel   fullA   chord    lift    selA  unselA       B
   1.00        all   1.000   1.000  +0.000   1.000     nan   1.000
   0.50     random   0.849   0.826  +0.023   1.000   0.698   1.000
   0.50  lowmargin   0.872   0.826  +0.046   1.000   0.744   1.000
   0.10     random   0.693   0.687  +0.006   1.000   0.659   1.000
   0.10  lowmargin   0.690   0.687  +0.004   1.000   0.656   1.000
   0.02     random   0.659   0.659  +0.000   1.000   0.652   1.000
   0.02  lowmargin   0.656   0.659  -0.003   1.000   0.649   1.000
   0.00        all   0.652   0.652  +0.000     nan   0.652   1.000
above-chord lift > 0 => small referee protects MORE old decisions than its membership (compression via shared weights). ~0 => behaves like incompressible facts.
