device=cuda STRUCTURED rank_k=1 n_ent=80 n_rel=80 C=50 h=256 alpha=1.0 epochs=3000 seeds=2
joint witness: accA=1.000 accB=1.000 | A-only accA0=1.000 | class-balance(max/mean)=25.32
R(1)=full-A ceiling=1.000  R(0)=zero-referee(transfer)=0.998  chord slope=0.002

 budget        sel   fullA   chord    lift    selA  unselA       B
   1.00        all   1.000   1.000  +0.000   1.000     nan   1.000
   0.50     random   1.000   0.999  +0.001   1.000   0.999   1.000
   0.50  lowmargin   1.000   0.999  +0.001   1.000   1.000   1.000
   0.10     random   0.998   0.998  -0.000   1.000   0.998   1.000
   0.10  lowmargin   1.000   0.998  +0.002   1.000   1.000   1.000
   0.02     random   0.998   0.998  -0.000   1.000   0.998   1.000
   0.02  lowmargin   0.999   0.998  +0.001   1.000   0.999   1.000
   0.00        all   0.998   0.998  +0.000     nan   0.998   1.000
above-chord lift > 0 => small referee protects MORE old decisions than its membership (compression via shared weights). ~0 => behaves like incompressible facts.
