device=cuda STRUCTURED rank_k=4 n_ent=80 n_rel=80 C=50 h=256 alpha=1.0 epochs=3000 seeds=2
joint witness: accA=1.000 accB=1.000 | A-only accA0=1.000 | class-balance(max/mean)=7.79
R(1)=full-A ceiling=1.000  R(0)=zero-referee(transfer)=0.849  chord slope=0.151

 budget        sel   fullA   chord    lift    selA  unselA       B
   1.00        all   1.000   1.000  +0.000   1.000     nan   1.000
   0.50     random   0.942   0.925  +0.017   1.000   0.884   1.000
   0.50  lowmargin   0.970   0.925  +0.046   1.000   0.941   1.000
   0.10     random   0.873   0.864  +0.009   1.000   0.859   1.000
   0.10  lowmargin   0.876   0.864  +0.011   1.000   0.862   1.000
   0.02     random   0.853   0.852  +0.001   1.000   0.850   1.000
   0.02  lowmargin   0.854   0.852  +0.001   1.000   0.851   1.000
   0.00        all   0.849   0.849  +0.000     nan   0.849   1.000
above-chord lift > 0 => small referee protects MORE old decisions than its membership (compression via shared weights). ~0 => behaves like incompressible facts.
