device=cuda STRUCTURED rank_k=8 n_ent=80 n_rel=80 C=50 h=256 alpha=1.0 epochs=3000 seeds=2
joint witness: accA=1.000 accB=1.000 | A-only accA0=1.000 | class-balance(max/mean)=5.67
R(1)=full-A ceiling=1.000  R(0)=zero-referee(transfer)=0.777  chord slope=0.223

 budget        sel   fullA   chord    lift    selA  unselA       B
   1.00        all   1.000   1.000  +0.000   1.000     nan   1.000
   0.50     random   0.907   0.888  +0.018   1.000   0.813   1.000
   0.50  lowmargin   0.939   0.888  +0.050   1.000   0.878   1.000
   0.10     random   0.812   0.799  +0.013   1.000   0.791   1.000
   0.10  lowmargin   0.809   0.799  +0.009   1.000   0.787   1.000
   0.02     random   0.782   0.781  +0.001   1.000   0.778   1.000
   0.02  lowmargin   0.782   0.781  +0.000   1.000   0.777   1.000
   0.00        all   0.777   0.777  +0.000     nan   0.777   1.000
above-chord lift > 0 => small referee protects MORE old decisions than its membership (compression via shared weights). ~0 => behaves like incompressible facts.
